,Title,Published_date,Views,Likes,View,Month
0,Live Q&A After Long Time- Krish Naik,2023-10-15,3637,274,3637,Oct
1,"Complete ML,DL,NLP And Computer Vision Project Guide With Free Videos And Materials",2023-10-12,40979,1380,40979,Oct
2,Complete Python Guide And 500+ Interview Questions And Solution With Usecases,2023-10-08,35308,1415,35308,Oct
3,"Complete End to End Deep Learning Project With MLFLOW,DVC And Deployment",2023-10-06,16649,495,16649,Oct
4,3 Things To Improve To Crack Data Science Interview-Tips From Success Stories-Krish Naik,2023-10-05,13402,453,13402,Oct
5,MLOPS-Machine Learning Production Grade Deployment Technqiues With MLOPS In One Shot,2023-10-03,9415,327,9415,Oct
6,Mock Interviews For Data Science And Data Analyst,2023-10-02,15590,506,15590,Oct
7,Complete Statistics Guide With Usecases and Scenario Based Interview Questions With Solutions,2023-09-30,13309,480,13309,Sep
8,"Complete MySQL Guide-Interview Questions With Answers,Cheatsheet,Handwritten Notes Including Videos",2023-09-25,19185,540,19185,Sep
9,"Complete Data Science And Data Analytics Guide-Cheatsheet,Handwritten Notes Including Videos",2023-09-21,67944,2430,67944,Sep
10,Question Of The Decade? Is DSA Required For Data Science? #dsa #datascience,2023-09-18,23309,621,23309,Sep
11,Benq Sent Me This Amazing Monitor For Coding|BenQ GW2790QT| Eye-Care Programming Monitor,2023-09-17,4548,96,4548,Sep
12,"ML Series-Step By Step ML Project Implementation-EDA,FE,Feature Selection,Model Training #day10",2023-09-16,13708,425,13708,Sep
13,"ML Series-Complete Ridge, Lasso & ElasticNet Machine Learning Algorithms Hand Written Notes #day10",2023-09-15,5584,112,5584,Sep
14,The Most Common Mistakes While Applying Data Science Jobs,2023-09-13,10572,464,10572,Sep
15,Do and Dont's Before Attending Data Science Interviews- Dont Make These Crucial Mistakes,2023-09-11,14618,682,14618,Sep
16,Is Linkedin The Best Platform For Applying Data Science Jobs #datascience,2023-09-08,17582,657,17582,Sep
17,Importance of following process while learning data science #artificialintelligence #mlprojects,2023-09-07,5430,206,5430,Sep
18,From Faculty to Data Science Thrilling Journey #mlprojects,2023-09-06,4719,138,4719,Sep
19,This 8 minutes Story Will Change Your Life,2023-09-05,23232,1404,23232,Sep
20,ML Series-Polynomial Regression Theory & Implementation Pipelines From Basic To Advanced#day9,2023-09-03,7977,211,7977,Sep
21,Lets Celebrate-Launch of PSLV-C57/Aditya-L1 Mission,2023-09-02,4784,185,4784,Sep
22,ML Series 2023-Simple & Multiple Linear Regression Implementation From Basic To Advanced#day8,2023-09-01,11774,331,11774,Sep
23,Standout With Additional Skillsets In Data Science Interviews #ai #mlprojects #datascience #skills,2023-08-25,8691,409,8691,Aug
24,How To Apply For Data Science Jobs? #mlprojects #datascience #machinelearning,2023-08-24,9884,433,9884,Aug
25,48 Years Old Transition From Faculty To Data Science- Hear Our Kishor Sir Story @PWSkillsTech,2023-08-24,11689,244,11689,Aug
26,Essential Guide To Data Science Self Study #shorts  #ai #datascience #mlprojects #transition,2023-08-23,15783,729,15783,Aug
27,Mastering Machine Learning Algorithms:The Secret Technique for Interview Success #ai #datascience,2023-08-22,6897,446,6897,Aug
28,Evidently AI Tutorial-Open Source ML Models Monitoring and Observability,2023-08-21,8772,294,8772,Aug
29,Is Transition From Mechanical Engineering To Data Science Possible? Shivam Transition Story Podcast,2023-08-18,13558,212,13558,Aug
30,BentoML Tutorial: Build Production Grade AI Applications,2023-08-16,10127,346,10127,Aug
31,Rohan Successful Transition-Freshers To MLOPS Lead With Equity @PWSkillsTech #datascience #ai,2023-08-14,9255,150,9255,Aug
32,Projjal Transition Story To Data Science With 380% Hike,2023-08-11,14417,319,14417,Aug
33,Tanisha Transition Story To Data Analytics Industry With 200% Hike,2023-08-03,27511,431,27511,Aug
34,Tavishi Transition Story To Data Science With 6 Offers And  170% Hike @PWSkillsTech,2023-07-30,70098,1376,70098,Jul
35,End To End MLOPS Data Science Project Implementation With Deployment,2023-07-28,29621,819,29621,Jul
36,Data Versioning Hands On Tutorials With DVC For Data Science,2023-07-25,10038,262,10038,Jul
37,The Power Of MLFLOW And Dagshub-Open Source Data Science Project Collaboration,2023-07-23,16265,473,16265,Jul
38,Live- Discussing Recent Development In Generative AI,2023-07-21,7280,217,7280,Jul
